,date,household,household_io(mom),household(mom),pop_density,pop(mom),area,men,women,total,size
829,2016-02-01,30716,-4.0,,3455.74026,66564,此花区,34002,32521,66523,19.25
830,2016-02-01,59506,124.0,,10565.16347,93490,中央区,49895,43818,93713,8.87
831,2016-02-01,52599,78.0,,17878.50288,93011,西区,49218,43929,93147,5.21
832,2016-02-01,40312,-46.0,,10423.91858,81994,港区,41905,40027,81932,7.86
833,2016-02-01,29146,-26.0,,6883.6691409999985,64990,大正区,33270,31643,64913,9.43
834,2016-02-01,38397,48.0,,15768.38843,76222,天王寺区,40811,35508,76319,4.84
835,2016-02-01,48122,135.0,,16086.10478,70429,浪速区,34763,35855,70618,4.39
836,2016-02-01,42922,-8.0,,6706.680731,95400,西淀川区,48459,46910,95369,14.22
837,2016-02-01,94599,16.0,,13950.0,176301,淀川区,88991,87337,176328,12.64
838,2016-02-01,92788,-53.0,,13229.31424,175645,東淀川区,89157,86396,175553,13.27
839,2016-02-01,39692,-44.0,,17735.02203,80566,東成区,41990,38527,80517,4.54
840,2016-02-01,63611,-82.0,,15509.677419999998,129968,生野区,67305,62511,129816,8.37
841,2016-02-01,43600,-32.0,,14479.430380000002,91581,旭区,47846,43664,91510,6.32
842,2016-02-01,76732,76.0,,19688.06683,164890,城東区,86398,78588,164986,8.38
843,2016-02-01,46364,13.0,,13646.75643,111485,鶴見区,58058,53436,111494,8.17
844,2016-02-01,50289,-30.0,,18063.54515,108011,阿倍野区,58232,49788,108020,5.98
845,2016-02-01,56951,-17.0,,5950.752062,122759,住之江区,63686,58959,122645,20.61
846,2016-02-01,71543,-52.0,,16363.29787,153971,住吉区,81978,71837,153815,9.4
847,2016-02-01,57855,37.0,,12942.76923,126248,東住吉区,66648,59544,126192,9.75
848,2016-02-01,89067,-29.0,,12857.32984,196516,平野区,103348,93112,196460,15.28
849,2016-02-01,69081,-118.0,,15122.9308,111656,西成区,47067,64389,111456,7.37
850,2016-01-01,1357563,187.0,,11958.78957,2692960,大阪市,1389860,1303379,2693239,225.21
851,2016-01-01,74464,107.0,,12011.60542,123984,北区,64152,60048,124200,10.34
852,2016-01-01,51604,-2.0,,17220.06579,104722,都島区,54180,50518,104698,6.08
853,2016-01-01,37589,48.0,,15555.46039,72531,福島区,38401,34243,72644,4.67
854,2016-01-01,30720,4.0,,3457.87013,66595,此花区,34022,32542,66564,19.25
855,2016-01-01,59382,13.0,,10540.02255,93425,中央区,49791,43699,93490,8.87
856,2016-01-01,52521,61.0,,17852.399230000006,92883,西区,49165,43846,93011,5.21
857,2016-01-01,40358,-40.0,,10431.80662,82051,港区,41929,40065,81994,7.86
858,2016-01-01,29172,-12.0,,6891.8345709999985,65065,大正区,33302,31688,64990,9.43
859,2016-01-01,38349,167.0,,15748.34711,75891,天王寺区,40749,35473,76222,4.84
860,2016-01-01,47987,41.0,,16043.05239,70322,浪速区,34685,35744,70429,4.39
861,2016-01-01,42930,-18.0,,6708.860759,95470,西淀川区,48459,46941,95400,14.22
862,2016-01-01,94583,-18.0,,13947.863919999998,176304,淀川区,88975,87326,176301,12.64
863,2016-01-01,92841,43.0,,13236.24717,175590,東淀川区,89194,86451,175645,13.27
864,2016-01-01,39736,62.0,,17745.814980000006,80509,東成区,42025,38541,80566,4.54
865,2016-01-01,63693,-28.0,,15527.83751,130082,生野区,67380,62588,129968,8.37
866,2016-01-01,43632,11.0,,14490.66456,91504,旭区,47866,43715,91581,6.32
867,2016-01-01,76656,-15.0,,19676.61098,164868,城東区,86350,78540,164890,8.38
